Date,Open,High,Low,Close,Adj Close,Volume
2018-03-21,19.799999,20.270000,19.799999,20.080000,18.926121,2177500
2018-03-22,19.850000,20.190001,19.559999,19.570000,18.445429,3404500
2018-03-23,19.730000,20.190001,19.650000,19.660000,18.530254,3611500
2018-03-26,19.830000,20.090000,19.750000,20.020000,18.869568,4492900
2018-03-27,20.000000,20.080000,19.440001,19.530001,18.407724,4211800
2018-03-28,19.559999,20.139999,19.260000,19.660000,18.530254,3308500
2018-03-29,19.690001,20.139999,19.690001,19.930000,18.784739,3758300
2018-04-02,19.870001,20.200001,19.420000,19.750000,18.615080,3931400
2018-04-03,19.770000,20.360001,19.760000,20.360001,19.190029,4420000
2018-04-04,20.030001,21.000000,20.010000,20.950001,19.746126,4437600
2018-04-05,20.959999,21.350000,20.780001,21.250000,20.028887,6818600
2018-04-06,21.260000,21.260000,20.840000,21.040001,19.830956,4833800
2018-04-09,21.180000,21.430000,20.959999,21.080000,19.868658,3051400
2018-04-10,21.370001,21.600000,21.209999,21.430000,20.198544,3097200
2018-04-11,21.200001,21.469999,21.190001,21.430000,20.198544,3308100
2018-04-12,21.440001,21.650000,21.270000,21.450001,20.347954,3066100
2018-04-13,21.549999,22.030001,21.500000,21.770000,20.651514,4175100
2018-04-16,21.840000,21.980000,21.330000,21.629999,20.518703,2658200
2018-04-17,21.820000,21.950001,21.559999,21.760000,20.642023,2616800
2018-04-18,21.889999,22.030001,21.530001,21.549999,20.442812,2721400
2018-04-19,21.490000,21.629999,20.980000,21.290001,20.196173,3762600
2018-04-20,21.190001,21.250000,20.510000,20.680000,19.617514,4960600
2018-04-23,20.709999,20.910000,20.559999,20.680000,19.617514,4086200
2018-04-24,20.840000,21.219999,20.690001,20.930000,19.854670,3725600
2018-04-25,20.910000,21.400000,20.770000,21.070000,19.987476,2923600
2018-04-26,21.180000,21.670000,21.030001,21.650000,20.537676,3353500
2018-04-27,21.570000,21.620001,20.809999,21.190001,20.101309,5014200
2018-04-30,21.280001,21.420000,20.650000,20.680000,19.617514,4170100
2018-05-01,20.559999,20.740000,20.059999,20.350000,19.304468,4287100
2018-05-02,20.260000,20.570000,20.090000,20.340000,19.294983,3707700
2018-05-03,20.290001,20.680000,20.219999,20.549999,19.494192,3287500
2018-05-04,20.490000,20.580000,20.040001,20.110001,19.076797,3869900
2018-05-07,20.150000,20.150000,19.450001,19.730000,18.716322,6376600
2018-05-08,19.770000,20.290001,19.639999,19.879999,18.858614,4966400
2018-05-09,19.959999,20.389999,19.830000,20.299999,19.257034,4252300
2018-05-10,20.190001,20.200001,19.570000,20.110001,19.076797,4018900
2018-05-11,20.330000,20.950001,20.150000,20.639999,19.579567,5348700
2018-05-14,20.780001,21.000000,20.650000,20.969999,19.892612,3544800
2018-05-15,20.920000,21.740000,20.879999,21.639999,20.528191,4971800
2018-05-16,21.850000,22.670000,21.780001,22.540001,21.381950,6112700
2018-05-17,22.440001,23.070000,22.280001,22.930000,21.751913,4857600
2018-05-18,22.820000,23.230000,22.770000,23.100000,21.913179,4762200
2018-05-21,22.570000,23.040001,22.469999,22.770000,21.600134,5427600
2018-05-22,22.959999,23.000000,22.120001,22.160000,21.021477,5291600
2018-05-23,22.010000,22.709999,21.860001,22.430000,21.277605,4591200
2018-05-24,22.209999,23.120001,22.190001,22.820000,21.647564,3332500
2018-05-25,22.750000,23.219999,22.750000,22.969999,21.789858,3007600
2018-05-29,22.809999,22.969999,22.580000,22.629999,21.467327,4647400
