Date,Open,High,Low,Close,Adj Close,Volume
2018-03-21,2.480000,2.740000,2.450000,2.710000,2.710000,14743500
2018-03-22,2.650000,2.760000,2.600000,2.600000,2.600000,10440000
2018-03-23,2.660000,2.800000,2.630000,2.690000,2.690000,11022600
2018-03-26,2.740000,2.840000,2.650000,2.820000,2.820000,11515800
2018-03-27,2.850000,2.890000,2.620000,2.640000,2.640000,12066200
2018-03-28,2.620000,2.740000,2.580000,2.660000,2.660000,11301900
2018-03-29,2.700000,2.810000,2.670000,2.740000,2.740000,9228700
2018-04-02,2.700000,2.730000,2.500000,2.550000,2.550000,12947700
2018-04-03,2.590000,2.700000,2.560000,2.650000,2.650000,9056500
2018-04-04,2.590000,2.720000,2.520000,2.710000,2.710000,9073100
2018-04-05,2.800000,2.860000,2.780000,2.840000,2.840000,11348300
2018-04-06,2.800000,2.880000,2.710000,2.780000,2.780000,8592800
2018-04-09,2.850000,2.920000,2.810000,2.840000,2.840000,7183100
2018-04-10,2.910000,3.190000,2.890000,3.110000,3.110000,16600100
2018-04-11,3.140000,3.230000,2.950000,3.000000,3.000000,15889100
2018-04-12,3.010000,3.050000,2.870000,2.970000,2.970000,11637900
2018-04-13,3.000000,3.030000,2.910000,2.950000,2.950000,6354200
2018-04-16,2.940000,2.980000,2.900000,2.960000,2.960000,5281500
2018-04-17,2.940000,2.940000,2.810000,2.840000,2.840000,9134100
2018-04-18,2.900000,3.220000,2.900000,3.140000,3.140000,14888900
2018-04-19,3.270000,3.330000,3.090000,3.150000,3.150000,10993800
2018-04-20,3.160000,3.160000,3.020000,3.100000,3.100000,5620200
2018-04-23,3.090000,3.200000,3.030000,3.190000,3.190000,5219500
2018-04-24,3.210000,3.310000,3.180000,3.240000,3.240000,11062300
2018-04-25,3.200000,3.230000,3.120000,3.190000,3.190000,8218300
2018-04-26,3.220000,3.320000,3.200000,3.320000,3.320000,7041000
2018-04-27,3.300000,3.340000,3.190000,3.230000,3.230000,6967900
2018-04-30,3.190000,3.300000,3.160000,3.290000,3.290000,9540200
2018-05-01,3.260000,3.290000,3.170000,3.260000,3.260000,9031800
2018-05-02,3.260000,3.400000,3.230000,3.400000,3.400000,7960000
2018-05-03,3.390000,3.430000,3.260000,3.280000,3.280000,7808300
2018-05-04,3.280000,3.480000,3.250000,3.400000,3.400000,10530800
2018-05-07,3.550000,3.680000,3.400000,3.420000,3.420000,15213100
2018-05-08,3.410000,3.460000,3.080000,3.400000,3.400000,18023700
2018-05-09,3.500000,3.850000,3.500000,3.790000,3.790000,16259100
2018-05-10,3.840000,3.890000,3.670000,3.770000,3.770000,12588900
2018-05-11,3.790000,3.860000,3.760000,3.800000,3.800000,11490300
2018-05-14,3.800000,3.900000,3.720000,3.790000,3.790000,9455500
2018-05-15,3.800000,3.830000,3.720000,3.800000,3.800000,9115300
2018-05-16,3.810000,3.960000,3.760000,3.920000,3.920000,10907900
2018-05-17,3.980000,4.200000,3.940000,4.090000,4.090000,14307900
2018-05-18,4.120000,4.230000,4.080000,4.130000,4.130000,10831600
2018-05-21,4.210000,4.540000,4.210000,4.480000,4.480000,18143900
2018-05-22,4.690000,4.750000,4.270000,4.290000,4.290000,25610300
2018-05-23,4.190000,4.400000,4.070000,4.330000,4.330000,15605300
2018-05-24,4.250000,4.250000,4.110000,4.210000,4.210000,11720500
2018-05-25,3.960000,3.980000,3.710000,3.890000,3.890000,14759000
2018-05-29,3.720000,4.130000,3.700000,4.050000,4.050000,13209100
2018-05-30,4.130000,4.320000,4.090000,4.290000,4.290000,16474700
2018-05-31,4.210000,4.350000,4.190000,4.250000,4.250000,10351400
2018-06-01,4.240000,4.390000,4.240000,4.280000,4.280000,10690000
2018-06-04,4.340000,4.380000,4.140000,4.210000,4.210000,9280700
2018-06-05,4.150000,4.300000,4.030000,4.240000,4.240000,10536700
2018-06-06,4.230000,4.350000,4.200000,4.290000,4.290000,7055800
2018-06-07,4.360000,4.460000,4.320000,4.450000,4.450000,9852400
2018-06-08,4.460000,4.470000,4.300000,4.390000,4.390000,9035700
2018-06-11,4.300000,4.430000,4.230000,4.350000,4.350000,9385500
2018-06-12,4.350000,4.470000,4.240000,4.280000,4.280000,9715500
2018-06-13,4.260000,4.310000,4.120000,4.180000,4.180000,9515200
2018-06-14,4.250000,4.290000,4.030000,4.060000,4.060000,10128300
2018-06-15,4.010000,4.060000,3.800000,3.820000,3.820000,15594900
2018-06-18,3.890000,4.140000,3.840000,4.020000,4.020000,13498800
2018-06-19,3.910000,4.130000,3.910000,4.120000,4.120000,10605900
2018-06-20,4.210000,4.590000,4.170000,4.560000,4.560000,17783400
2018-06-21,4.450000,4.470000,4.240000,4.240000,4.240000,12145500
2018-06-22,4.590000,4.870000,4.530000,4.720000,4.720000,27511500
2018-06-25,4.740000,4.750000,4.420000,4.470000,4.470000,12579900
2018-06-26,4.530000,4.740000,4.430000,4.690000,4.690000,11178500
2018-06-27,4.800000,5.200000,4.790000,4.880000,4.880000,19433600
2018-06-28,4.910000,4.970000,4.720000,4.810000,4.810000,11685200
2018-06-29,4.860000,5.050000,4.770000,4.810000,4.810000,11895500
2018-07-02,4.730000,4.730000,4.510000,4.600000,4.600000,10221100
2018-07-03,4.750000,4.910000,4.610000,4.740000,4.740000,8722700
2018-07-05,4.760000,4.820000,4.700000,4.780000,4.780000,7877700
2018-07-06,4.700000,4.930000,4.650000,4.920000,4.920000,8965400
2018-07-09,4.970000,5.220000,4.880000,5.210000,5.210000,15512600
2018-07-10,5.360000,5.560000,5.180000,5.310000,5.310000,17126100
2018-07-11,5.150000,5.390000,4.970000,5.070000,5.070000,13748800
2018-07-12,5.110000,5.160000,4.930000,4.970000,4.970000,16868200
2018-07-13,4.990000,5.100000,4.870000,4.890000,4.890000,24164800
2018-07-16,4.730000,4.850000,4.400000,4.640000,4.640000,17589500
2018-07-17,4.570000,4.680000,4.510000,4.540000,4.540000,17846500
2018-07-18,4.500000,4.510000,4.260000,4.440000,4.440000,14492100
2018-07-19,4.430000,4.530000,4.410000,4.460000,4.460000,10341600
2018-07-20,4.480000,4.570000,4.280000,4.360000,4.360000,10665900
2018-07-23,4.420000,4.530000,4.400000,4.490000,4.490000,8339800
2018-07-24,4.580000,4.720000,4.510000,4.560000,4.560000,10291900
2018-07-25,4.620000,4.630000,4.460000,4.580000,4.580000,9801700
2018-07-26,4.560000,4.620000,4.490000,4.510000,4.510000,7982900
2018-07-27,4.500000,4.550000,4.190000,4.190000,4.190000,10935500
2018-07-30,4.340000,4.700000,4.330000,4.680000,4.680000,12803700
2018-07-31,4.600000,4.680000,4.460000,4.510000,4.510000,9636100
2018-08-01,4.450000,4.500000,4.320000,4.460000,4.460000,11185300
2018-08-02,4.420000,4.560000,4.380000,4.500000,4.500000,9101400
2018-08-03,4.480000,4.580000,4.390000,4.410000,4.410000,6954500
2018-08-06,4.470000,4.550000,4.400000,4.470000,4.470000,7983100
2018-08-07,4.680000,4.810000,4.400000,4.480000,4.480000,14849100
2018-08-08,4.410000,4.450000,4.230000,4.260000,4.260000,11425300
2018-08-09,4.240000,4.330000,4.230000,4.270000,4.270000,10425600
2018-08-10,4.270000,4.540000,4.230000,4.480000,4.480000,7815400
2018-08-13,4.460000,4.640000,4.390000,4.580000,4.580000,9690600
2018-08-14,4.700000,4.750000,4.540000,4.700000,4.700000,10895400
2018-08-15,4.640000,4.650000,4.230000,4.410000,4.410000,10053300
2018-08-16,4.440000,4.510000,4.370000,4.480000,4.480000,5133100
2018-08-17,4.520000,4.580000,4.420000,4.500000,4.500000,7257000
2018-08-20,4.480000,4.790000,4.460000,4.740000,4.740000,11201700
2018-08-21,4.820000,4.980000,4.810000,4.940000,4.940000,14230500
2018-08-22,5.100000,5.160000,4.920000,5.000000,5.000000,15110600
2018-08-23,4.900000,5.070000,4.760000,5.060000,5.060000,8735800
2018-08-24,5.140000,5.240000,5.110000,5.220000,5.220000,9800200
2018-08-27,5.250000,5.380000,5.220000,5.350000,5.350000,10244800
2018-08-28,5.370000,5.400000,5.150000,5.230000,5.230000,7818100
2018-08-29,5.290000,5.450000,5.200000,5.400000,5.400000,10306900
2018-08-30,5.400000,5.650000,5.400000,5.610000,5.610000,11497600
2018-08-31,5.570000,5.610000,5.410000,5.570000,5.570000,13407100
2018-09-04,5.760000,5.840000,5.370000,5.400000,5.400000,16009900
2018-09-05,5.310000,5.480000,5.110000,5.370000,5.370000,12030700
2018-09-06,5.380000,5.410000,5.010000,5.140000,5.140000,9858200
2018-09-07,5.050000,5.070000,4.900000,5.060000,5.060000,8392100
2018-09-10,5.150000,5.250000,5.070000,5.200000,5.200000,9063300
2018-09-11,5.170000,5.470000,5.160000,5.350000,5.350000,9778300
2018-09-12,5.480000,5.580000,5.370000,5.470000,5.470000,8881300
2018-09-13,5.400000,5.410000,5.090000,5.160000,5.160000,11449300
2018-09-14,5.160000,5.320000,5.160000,5.280000,5.280000,8994200
2018-09-17,5.340000,5.410000,5.230000,5.290000,5.290000,7235000
2018-09-18,5.350000,5.490000,5.330000,5.390000,5.390000,6963200
2018-09-19,5.400000,5.590000,5.370000,5.590000,5.590000,8876800
2018-09-20,5.630000,5.690000,5.450000,5.540000,5.540000,8281200
2018-09-21,5.570000,5.640000,5.510000,5.590000,5.590000,22149300
2018-09-24,5.730000,6.230000,5.700000,6.150000,6.150000,27585700
2018-09-25,6.260000,6.390000,6.110000,6.210000,6.210000,14292500
2018-09-26,6.140000,6.240000,6.030000,6.140000,6.140000,7789700
2018-09-27,6.240000,6.300000,6.110000,6.170000,6.170000,6388000
2018-09-28,6.130000,6.330000,6.120000,6.200000,6.200000,8367700
2018-10-01,6.240000,6.270000,5.950000,6.150000,6.150000,12533000
2018-10-02,6.140000,6.170000,5.970000,6.050000,6.050000,7547100
2018-10-03,6.130000,6.660000,6.120000,6.610000,6.610000,21157400
2018-10-04,6.480000,6.700000,6.440000,6.480000,6.480000,12554900
2018-10-05,6.510000,6.620000,6.300000,6.460000,6.460000,9244700
2018-10-08,6.350000,6.500000,6.230000,6.350000,6.350000,8881000
2018-10-09,6.430000,6.750000,6.410000,6.510000,6.510000,12281100
2018-10-10,6.470000,6.540000,5.980000,5.980000,5.980000,13384700
2018-10-11,5.900000,6.000000,5.610000,5.630000,5.630000,15695800
2018-10-12,5.970000,5.970000,5.520000,5.720000,5.720000,9453400
2018-10-15,5.770000,5.870000,5.560000,5.710000,5.710000,9415500
2018-10-16,5.740000,5.910000,5.650000,5.870000,5.870000,7288100
2018-10-17,5.840000,5.870000,5.380000,5.480000,5.480000,12727600
2018-10-18,5.330000,5.440000,5.220000,5.330000,5.330000,10628200
2018-10-19,5.370000,5.510000,5.210000,5.260000,5.260000,7528000
2018-10-22,5.250000,5.290000,5.120000,5.260000,5.260000,5579300
2018-10-23,5.010000,5.010000,4.720000,4.880000,4.880000,10594600
2018-10-24,4.940000,4.970000,4.290000,4.300000,4.300000,11518400
2018-10-25,4.370000,4.650000,4.240000,4.520000,4.520000,10868500
2018-10-26,4.400000,4.490000,4.230000,4.350000,4.350000,8698900
2018-10-29,4.010000,4.030000,3.270000,3.320000,3.320000,39121200
