Date,Open,High,Low,Close,Adj Close,Volume
2018-03-21,12.080000,12.320000,12.060000,12.240000,10.833098,1223600
2018-03-22,12.120000,12.150000,11.800000,11.840000,10.479075,2705700
2018-03-23,11.880000,11.920000,11.320000,11.320000,10.018846,1269200
2018-03-26,11.490000,11.540000,10.880000,10.980000,9.717925,1780500
2018-03-27,11.000000,11.110000,10.870000,10.920000,9.664823,1582600
2018-03-28,10.920000,11.010000,10.840000,10.970000,9.709076,1105100
2018-03-29,11.010000,11.070000,10.880000,10.890000,9.638270,1446900
2018-04-02,10.860000,10.950000,10.630000,10.750000,9.514363,1930800
2018-04-03,10.770000,10.950000,10.770000,10.830000,9.585166,1715000
2018-04-04,10.720000,11.130000,10.720000,11.090000,9.815282,3317800
2018-04-05,11.130000,11.170000,10.900000,10.950000,9.691373,1889600
2018-04-06,10.870000,10.960000,10.660000,10.730000,9.496660,1152600
2018-04-09,10.820000,10.870000,10.560000,10.570000,9.355052,1306000
2018-04-10,10.710000,10.920000,10.690000,10.840000,9.594016,1199000
2018-04-11,10.780000,11.050000,10.770000,10.800000,9.558616,1713800
2018-04-12,10.840000,10.960000,10.840000,10.910000,9.655972,687600
2018-04-13,11.000000,11.000000,10.710000,10.740000,9.505512,929300
2018-04-16,10.770000,10.880000,10.720000,10.790000,9.549765,960600
2018-04-17,10.870000,11.030000,10.810000,10.920000,9.664823,3058700
2018-04-18,10.930000,11.010000,10.840000,10.960000,9.700224,1199300
2018-04-19,10.960000,11.090000,10.920000,10.950000,9.691373,1587500
2018-04-20,10.970000,11.100000,10.660000,10.730000,9.496660,1572300
2018-04-23,10.720000,10.890000,10.700000,10.730000,9.496660,866500
2018-04-24,10.830000,11.030000,10.590000,10.660000,9.434709,1719200
2018-04-25,10.620000,10.700000,10.550000,10.590000,9.372753,1421300
2018-04-26,10.650000,10.730000,10.540000,10.680000,9.452410,1534700
2018-04-27,10.720000,10.890000,10.650000,10.840000,9.594016,1574300
2018-04-30,11.000000,11.000000,10.210000,10.220000,9.045282,2520900
2018-05-01,10.200000,10.230000,9.840000,10.030000,8.877122,2444500
2018-05-02,10.250000,10.250000,9.000000,9.010000,7.974365,4592500
2018-05-03,8.990000,9.000000,8.540000,8.550000,7.567238,4743100
2018-05-04,8.480000,8.770000,8.300000,8.640000,7.646893,3754500
2018-05-07,8.650000,9.000000,8.600000,8.810000,7.797353,3333700
2018-05-08,8.820000,9.040000,8.740000,8.860000,7.841605,2952600
2018-05-09,8.840000,8.960000,8.630000,8.880000,7.859308,5864600
2018-05-10,8.970000,9.180000,8.950000,9.120000,8.071720,2505100
2018-05-11,9.110000,9.210000,9.070000,9.160000,8.107121,1254100
2018-05-14,9.170000,9.270000,8.940000,8.960000,7.930110,3981500
2018-05-15,8.980000,9.210000,8.960000,9.010000,7.974365,1774900
2018-05-16,9.030000,9.260000,9.030000,9.210000,8.151376,1763700
2018-05-17,9.240000,9.320000,9.180000,9.190000,8.133673,1748900
2018-05-18,9.180000,9.190000,9.030000,9.140000,8.089422,1980200
2018-05-21,9.190000,9.290000,9.130000,9.190000,8.133673,1477100
2018-05-22,9.250000,9.330000,9.200000,9.240000,8.177927,1503300
2018-05-23,9.200000,9.250000,8.940000,8.950000,7.921259,3320200
2018-05-24,8.790000,8.840000,8.660000,8.700000,7.864760,2048200
2018-05-25,8.700000,8.940000,8.680000,8.760000,7.919000,1185000
2018-05-29,8.710000,8.870000,8.670000,8.790000,7.946121,1814200
2018-05-30,8.850000,8.960000,8.790000,8.820000,7.973240,1273900
2018-05-31,8.920000,8.940000,8.810000,8.900000,8.045559,4372800
2018-06-01,9.100000,9.160000,8.940000,9.020000,8.154040,1941500
2018-06-04,9.070000,9.250000,9.050000,9.220000,8.334838,2019300
2018-06-05,9.200000,9.300000,9.160000,9.300000,8.407159,1390800
2018-06-06,9.320000,9.350000,9.120000,9.310000,8.416198,1463500
2018-06-07,9.330000,9.450000,9.190000,9.360000,8.461397,1378200
2018-06-08,9.340000,9.470000,9.340000,9.440000,8.533717,1386100
2018-06-11,9.460000,9.640000,9.460000,9.630000,8.705476,1381100
2018-06-12,9.660000,9.700000,9.550000,9.600000,8.678357,1336500
2018-06-13,9.600000,9.680000,9.430000,9.480000,8.569877,1375000
2018-06-14,9.480000,9.530000,9.120000,9.210000,8.325798,2131200
2018-06-15,9.200000,9.210000,8.890000,9.080000,8.208279,3643900
2018-06-18,9.090000,9.690000,9.090000,9.610000,8.687395,2914200
2018-06-19,9.550000,9.710000,9.350000,9.610000,8.687395,2351700
2018-06-20,9.590000,9.670000,9.490000,9.570000,8.651236,1587600
2018-06-21,9.550000,9.590000,9.200000,9.260000,8.370997,1978600
2018-06-22,9.320000,9.340000,9.030000,9.240000,8.352919,14493500
2018-06-25,9.170000,9.170000,8.900000,9.040000,8.172120,2596700
2018-06-26,9.050000,9.100000,8.840000,8.850000,8.000360,1944500
2018-06-27,8.860000,8.890000,8.610000,8.620000,7.792440,1956000
2018-06-28,8.590000,8.620000,8.110000,8.450000,7.638762,3486700
2018-06-29,8.490000,8.670000,8.490000,8.570000,7.747241,3198600
2018-07-02,8.510000,8.670000,8.410000,8.650000,7.819561,2003900
2018-07-03,8.720000,8.980000,8.710000,8.860000,8.009399,1056800
2018-07-05,8.900000,9.140000,8.810000,9.090000,8.217319,2697500
2018-07-06,9.130000,9.280000,9.010000,9.110000,8.235398,1441200
2018-07-09,9.120000,9.290000,9.110000,9.270000,8.380038,3764400
2018-07-10,9.280000,9.300000,9.100000,9.170000,8.289639,1188100
2018-07-11,9.120000,9.170000,8.970000,9.000000,8.135959,2207700
2018-07-12,9.030000,9.060000,8.900000,9.000000,8.135959,1596700
2018-07-13,8.940000,9.070000,8.910000,8.960000,8.099798,2062200
2018-07-16,8.960000,8.990000,8.690000,8.750000,7.909959,1921200
2018-07-17,8.730000,8.780000,8.650000,8.680000,7.846682,3471700
2018-07-18,8.680000,8.730000,8.520000,8.610000,7.783400,1937800
2018-07-19,8.600000,8.710000,8.460000,8.670000,7.837641,2536500
2018-07-20,8.680000,8.740000,8.620000,8.640000,7.810521,1565900
2018-07-23,8.600000,8.720000,8.530000,8.620000,7.792440,1854700
2018-07-24,8.720000,8.900000,8.680000,8.740000,7.900920,1871100
2018-07-25,8.730000,8.780000,8.600000,8.680000,7.846682,2390600
2018-07-26,8.650000,9.090000,8.650000,8.840000,7.991321,2010800
2018-07-27,8.860000,8.900000,8.620000,8.680000,7.846682,1478500
2018-07-30,8.700000,8.830000,8.680000,8.710000,7.873801,1355800
2018-07-31,8.750000,8.810000,8.670000,8.730000,7.891879,3424100
2018-08-01,8.940000,9.090000,7.850000,8.070000,7.295243,5498500
2018-08-02,8.010000,8.230000,8.000000,8.220000,7.430843,1943700
2018-08-03,8.270000,8.450000,8.190000,8.250000,7.457962,2710500
2018-08-06,8.250000,8.330000,8.030000,8.100000,7.322363,2467800
